ID,Timestamp,Value
10034,2022-02-21 16:26:12.157+00,0.0
10093,2022-02-21 16:26:12.157+00,1.25
10080,2022-02-21 16:26:12.157+00,424.965
10022,2022-02-21 16:26:12.157+00,7.688
10102,2022-02-21 16:26:12.157+00,1.25
10085,2022-02-21 16:26:12.157+00,0.5
10094,2022-02-21 16:26:12.157+00,107.747
10088,2022-02-21 16:26:12.157+00,856.109
10016,2022-02-21 16:26:12.157+00,6.116
10018,2022-02-21 16:26:12.157+00,159.88
10008,2022-02-21 16:26:12.157+00,18.625
10073,2022-02-21 16:26:12.157+00,425.014
10033,2022-02-21 16:26:12.157+00,425.0
10101,2022-02-21 16:26:12.157+00,181.586
10021,2022-02-21 16:26:12.157+00,231.636
10079,2022-02-21 16:26:12.157+00,25.469
10032,2022-02-21 16:26:12.157+00,425.0
10075,2022-02-21 16:26:12.157+00,4.926
10024,2022-02-21 16:26:12.157+00,187.613
10019,2022-02-21 16:26:12.157+00,9.758
10078,2022-02-21 16:26:12.157+00,0.5
10077,2022-02-21 16:26:12.157+00,995.747
10089,2022-02-21 16:26:12.156+00,204651.297
10005,2022-02-21 16:26:12.156+00,8.0
10097,2022-02-21 16:26:12.156+00,893.415
10027,2022-02-21 16:26:12.156+00,234.485
10083,2022-02-21 16:26:12.156+00,69.061
10020,2022-02-21 16:26:12.156+00,43.379
10007,2022-02-21 16:26:12.156+00,8.0
10081,2022-02-21 16:26:12.156+00,54319.863
10023,2022-02-21 16:26:12.156+00,33.111
10100,2022-02-21 16:26:12.156+00,37.046
10014,2022-02-21 16:26:12.156+00,754.0
10025,2022-02-21 16:26:12.156+00,10.882
10103,2022-02-21 16:26:12.156+00,110.472
10082,2022-02-21 16:26:12.156+00,4.94
10096,2022-02-21 16:26:12.156+00,52.759
10076,2022-02-21 16:26:12.156+00,68.375
10029,2022-02-21 16:26:12.156+00,67.138
10012,2022-02-21 16:26:12.156+00,201.0
10002,2022-02-21 16:26:12.156+00,162.7
10099,2022-02-21 16:26:12.156+00,8.54
10015,2022-02-21 16:26:12.156+00,800.0
10098,2022-02-21 16:26:12.156+00,207202.109
10035,2022-02-21 16:26:12.156+00,0.0
10004,2022-02-21 16:26:12.156+00,163.87
10074,2022-02-21 16:26:12.156+00,52938.27
10031,2022-02-21 16:26:12.156+00,67.815
10003,2022-02-21 16:26:12.156+00,18.8
10006,2022-02-21 16:26:12.156+00,8.0
10091,2022-02-21 16:26:11.139+00,50.345
10072,2022-02-21 16:26:11.139+00,25.465
10017,2022-02-21 16:26:11.139+00,28.944
10087,2022-02-21 16:26:11.139+00,49.703
10011,2022-02-21 16:26:11.139+00,133.21
10084,2022-02-21 16:26:11.139+00,995.686
10086,2022-02-21 16:26:11.139+00,861.49
10000,2022-02-21 16:26:11.139+00,40.162
10092,2022-02-21 16:26:11.139+00,181.372
10090,2022-02-21 16:26:11.139+00,9.972
10028,2022-02-21 16:26:11.139+00,425.565
10013,2022-02-21 16:26:11.139+00,175.0
10030,2022-02-21 16:26:11.139+00,426.822
10010,2022-02-21 16:26:11.139+00,150.54
10026,2022-02-21 16:26:11.139+00,43.57
10095,2022-02-21 16:26:11.139+00,737.629
10016,2022-02-21 15:42:19.719+00,6.695
10008,2022-02-21 15:42:19.719+00,18.625
10088,2022-02-21 15:42:19.719+00,856.109
10032,2022-02-21 15:42:19.719+00,425.0
10021,2022-02-21 15:42:19.719+00,231.636
10101,2022-02-21 15:42:19.719+00,181.905
10018,2022-02-21 15:42:19.719+00,159.88
10085,2022-02-21 15:42:19.719+00,0.5
10079,2022-02-21 15:42:19.719+00,12.502
10024,2022-02-21 15:42:19.719+00,187.613
10019,2022-02-21 15:42:19.719+00,9.195
10102,2022-02-21 15:42:19.719+00,1.25
10094,2022-02-21 15:42:19.719+00,108.284
10093,2022-02-21 15:42:19.719+00,1.25
10022,2022-02-21 15:42:19.719+00,8.009
10033,2022-02-21 15:42:19.719+00,425.0
10034,2022-02-21 15:42:19.719+00,0.0
10078,2022-02-21 15:42:19.719+00,0.5
10080,2022-02-21 15:42:18.705+00,424.965
10015,2022-02-21 15:42:18.705+00,800.0
10077,2022-02-21 15:42:18.705+00,996.814
10096,2022-02-21 15:42:18.705+00,25.763
10025,2022-02-21 15:42:18.705+00,8.829
10081,2022-02-21 15:42:18.705+00,54306.898
10004,2022-02-21 15:42:18.705+00,160.5
10035,2022-02-21 15:42:18.705+00,0.0
10075,2022-02-21 15:42:18.705+00,4.882
10005,2022-02-21 15:42:18.705+00,8.0
10103,2022-02-21 15:42:18.705+00,111.024
10027,2022-02-21 15:42:18.705+00,234.485
10073,2022-02-21 15:42:18.705+00,425.014
10028,2022-02-21 15:42:18.704+00,421.798
10087,2022-02-21 15:42:18.704+00,25.003
10020,2022-02-21 15:42:18.704+00,36.424
10013,2022-02-21 15:42:18.704+00,194.0
10072,2022-02-21 15:42:18.704+00,12.51
10082,2022-02-21 15:42:18.704+00,4.881
10007,2022-02-21 15:42:18.704+00,8.0
10092,2022-02-21 15:42:18.704+00,181.426
10012,2022-02-21 15:42:18.704+00,209.0
10095,2022-02-21 15:42:18.704+00,919.023
10029,2022-02-21 15:42:18.704+00,66.917
10026,2022-02-21 15:42:18.704+00,36.431
10014,2022-02-21 15:42:18.704+00,751.0
10091,2022-02-21 15:42:18.704+00,60.162
10031,2022-02-21 15:42:18.704+00,67.547
10000,2022-02-21 15:42:18.704+00,54.046
10083,2022-02-21 15:42:18.704+00,67.219
10006,2022-02-21 15:42:18.704+00,8.0
10097,2022-02-21 15:42:18.704+00,893.415
10084,2022-02-21 15:42:18.704+00,996.753
10030,2022-02-21 15:42:18.704+00,421.758
10090,2022-02-21 15:42:18.704+00,10.887
10023,2022-02-21 15:42:18.704+00,28.131
10074,2022-02-21 15:42:18.704+00,52925.313
10089,2022-02-21 15:42:18.704+00,204626.594
10098,2022-02-21 15:42:18.704+00,207175.109
10002,2022-02-21 15:42:18.704+00,159.27
10017,2022-02-21 15:42:18.704+00,24.56
10011,2022-02-21 15:42:18.704+00,127.36
10099,2022-02-21 15:42:18.704+00,10.639
10076,2022-02-21 15:42:18.704+00,66.976
10010,2022-02-21 15:42:18.704+00,144.51
10100,2022-02-21 15:42:18.704+00,57.603
10086,2022-02-21 15:42:18.704+00,940.629
10003,2022-02-21 15:42:18.704+00,18.85
10022,2022-02-21 15:26:20.235+00,8.009
10021,2022-02-21 15:26:20.235+00,231.636
